ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
83300;1;Nolan N91 Classic #5 blanc;197;323.1481481;1;180.962963;0;;;;;Z20002-001;Z20002-001;Motochic;Nolan;;;;;;;;0;;;;;;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<BR>Homologation CEE comme casque intégral et casque jet;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<br><ul><li>Verrouillage «Dual Action» pour un verrouillage sûr de la mentonnière</li><li>Homologation CEE comme casque intégral et casque jet</li><li>Pare-soleil intégré VPS</li><li>Visière intérieure antibuée</li><li>Fermeture «Microlock2», doublure «Klima Komfort» amovible, verrouillage «Dual-Action»</li><li>Possibilité d´utilisation du nouveau système de communication N-Com</li></ul><br><b>Grandeurs 2XS - 2XL</b>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20002-001-M.jpg;0;Couleur:blanc:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83301;1;Nolan N91 classique #3 noir;197;323.1481481;1;180.962963;0;;;;;Z20002-003;Z20002-003;Motochic;Nolan;;;;;;;;0;;;;;;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<BR>Homologation CEE comme casque intégral et casque jet;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<br><ul><li>Verrouillage «Dual Action» pour un verrouillage sûr de la mentonnière</li><li>Homologation CEE comme casque intégral et casque jet</li><li>Pare-soleil intégré VPS</li><li>Visière intérieure antibuée</li><li>Fermeture «Microlock2», doublure «Klima Komfort» amovible, verrouillage «Dual-Action»</li><li>Possibilité d´utilisation du nouveau système de communication N-Com</li></ul><br><b>Grandeurs 2XS - 2XL</b>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20002-003-M.jpg;0;Couleur:noir:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83302;1;Nolan N91 Classic #2 gris;197;323.1481481;1;180.962963;0;;;;;Z20002-009;Z20002-009;Motochic;Nolan;;;;;;;;0;;;;;;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<BR>Homologation CEE comme casque intégral et casque jet;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<br><ul><li>Verrouillage «Dual Action» pour un verrouillage sûr de la mentonnière</li><li>Homologation CEE comme casque intégral et casque jet</li><li>Pare-soleil intégré VPS</li><li>Visière intérieure antibuée</li><li>Fermeture «Microlock2», doublure «Klima Komfort» amovible, verrouillage «Dual-Action»</li><li>Possibilité d´utilisation du nouveau système de communication N-Com</li></ul><br><b>Grandeurs 2XS - 2XL</b>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20002-009-M.jpg;0;Couleur:gris:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83303;1;Nolan N91 Classic #10 noir mat;197;323.1481481;1;180.962963;0;;;;;Z20002-M33;Z20002-M33;Motochic;Nolan;;;;;;;;0;;;;;;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<BR>Homologation CEE comme casque intégral et casque jet;Casque à mentonnière relevable en polycarbonate avec pare-soleil et prédisposition N-Com.<br><ul><li>Verrouillage «Dual Action» pour un verrouillage sûr de la mentonnière</li><li>Homologation CEE comme casque intégral et casque jet</li><li>Pare-soleil intégré VPS</li><li>Visière intérieure antibuée</li><li>Fermeture «Microlock2», doublure «Klima Komfort» amovible, verrouillage «Dual-Action»</li><li>Possibilité d´utilisation du nouveau système de communication N-Com</li></ul><br><b>Grandeurs 2XS - 2XL</b>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20002-M33-M.jpg;0;Couleur:noir mat:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83304;1;Nolan N91 Evo Strip #29 mat noir-blanc-gris;197;341.6666667;1;191.3333333;0;;;;;Z20003-M31;Z20003-M31;Motochic;Nolan;;;;;;;;1;;;;;;Casque modulable de base en <i>Lexan EXL</i> haut de gamme;"<ul><li>Aérations sur le front et sur le menton, déflecteur de souffle</li><li>Pare-soleil intégré (intérieur)</li><li>Visière transparente résistante aux rayures</li><li>Visière Pinlock® antibuée inclue</li><li>Garniture intérieure climat-confort amovible</li><li>Poids env. 1780&nbsp;g</li><li>Contrôles ECE 22.05 (casque intégral et Jet)</li><li>Mentonnière à cliquet </li><li>Préparé pour les N-Com B3 &amp; B1</li></ul><b>Grandeurs 2XS - 2XL</b>";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20003-M31-M.jpg;0;Couleur:noir mat:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83305;1;Nolan N91 Evo Strip #28 mat noir-fluo jaune;197;341.6666667;1;191.3333333;0;;;;;Z20003-M35;Z20003-M35;Motochic;Nolan;;;;;;;;1;;;;;;Casque modulable de base en <i>Lexan EXL</i> haut de gamme;"<ul><li>Aérations sur le front et sur le menton, déflecteur de souffle</li><li>Pare-soleil intégré (intérieur)</li><li>Visière transparente résistante aux rayures</li><li>Visière Pinlock® antibuée inclue</li><li>Garniture intérieure climat-confort amovible</li><li>Poids env. 1780&nbsp;g</li><li>Contrôles ECE 22.05 (casque intégral et Jet)</li><li>Mentonnière à cliquet </li><li>Préparé pour les N-Com B3 &amp; B1</li></ul><b>Grandeurs 2XS - 2XL</b>";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20003-M35-M.jpg;0;Couleur:noir mat:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83306;1;Nolan N91 EVO Special #9 mat noir;197;276.8518519;1;155.037037;0;;;;;Z20004-M33;Z20004-M33;Motochic;Nolan;;;;;;;;0;;;;;;Casque modulable de base en <i>Lexan EXL</i> haut de gamme;"<ul><li>Aérations sur le front et sur le menton, déflecteur de souffle</li><li>Pare-soleil intégré (intérieur)</li><li>Visière transparente résistante aux rayures</li><li>Visière Pinlock® antibuée inclue</li><li>Garniture intérieure climat-confort amovible</li><li>Poids env. 1780&nbsp;g</li><li>Contrôles ECE 22.05 (casque intégral et Jet)</li><li>Mentonnière à cliquet </li><li>Préparé pour les N-Com B3 &amp; B1</li></ul><b>Grandeurs 2XS - 2XL</b>";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20004-M33-.jpg;0;Couleur:noir mat:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83307;1;Nolan N91 EVO Ammersee #39 blanc-noir-rouge;197;350.9259259;1;196.5185185;0;;;;;Z20006-132;Z20006-132;Motochic;Nolan;;;;;;;;0;;;;;;Casque modulable de base en <i>Lexan EXL</i> haut de gamme;"<ul><li>Aérations sur le front et sur le menton, déflecteur de souffle</li><li>Pare-soleil intégré (intérieur)</li><li>Visière transparente résistante aux rayures</li><li>Visière Pinlock® antibuée inclue</li><li>Garniture intérieure climat-confort amovible</li><li>Poids env. 1780&nbsp;g</li><li>Contrôles ECE 22.05 (casque intégral et Jet)</li><li>Mentonnière à cliquet </li><li>Préparé pour les N-Com B3 &amp; B1</li></ul><b>Grandeurs 2XS - 2XL</b>";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20006-132-_01.jpg,http://shop.motochic.ch/shopimages/super/Z20006-132-.jpg,http://shop.motochic.ch/shopimages/super/Z20006-132-_02.jpg;0;Couleur:blanc:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83308;1;Nolan N104 Fluo #22 jaune fluo;197;480.5555556;1;269.1111111;0;;;;;Z20010-005;Z20010-005;Motochic;Nolan;;;;;;;;1;;;;;;Le nouveau <B>N104</b> est la synthèse de toutes les innovations dans le domaine du casque ouvrable de Nolan;Le <B>N104</B> représente la synthèse de toutes les innovations dans le domaine des casques rabattables de Nolan, à commencer par le N100 (en 1998). Nolan est sur le point d?écrire un nouveau chapitre dans cette histoire: le <B>N104</B> a été développé par les motards les plus exigeants. Il a été conçu, développé et testé par une équipe de spécialistes, ingénieurs, designers ou techniciens et par tous les passionnés de moto.<BR><BR>Le <B>N104</B> symbolise un design moderne, élégant et un confort incomparable.<BR><B>100 % «Made in Italy»</B>, le <B>N104</B> est le casque rabattable qui sert de modèle et ce, grâce à la réputation fiable de la marque Nolan et au grand soin accordé aux détails.<BR><BR><B>COQUE EXTÉRIEURE</B><BR><BR>La coque extérieure du <B>N104</B> est fabriquée dans deux tailles (XXS-L / XL ? XXXL) et offre donc un maximum de confort. Le poids et le volume du casque sont réduits à un minimum, en proportion de la taille du pilote.<BR><BR><B>ROTATION DE LA MENTONNIÈRE</B><BR><BR>Le mouvement de rotation elliptique breveté de la mentonnière permet de maintenir la partie frontale du casque à une petite taille lorsque la mentonnière est ouverte, réduisant fortement l?effet de «voile» et augmentant le confort, même quand celle-ci est ouverte.<BR><BR><B>MÉCANISME DUAL ACTION</B><BR><BR>Le <B>N104</B> est équipé du mécanisme <B>DUAL ACTION</B> breveté. Positionné au milieu de la mentonnière, il permet une ouverture facile d?une seule main.<BR><BR>Le mécanisme <B>DUAL ACTION</B> réduit à un minimum le risque d?ouverture accidentelle: la mentonnière ne peut être ouverte qu?en actionnant le levier d?activation (p. ex. le verrou de sécurité) et en actionnant simultanément un deuxième levier.<BR><BR><B>VISIÈRE EXTRA-LARGE</B><BR><BR>La visière installée sur le <B>N104</B> garantit un maximal de confort pendant la conduite. Ses grandes dimensions permettent une plus grande visibilité, offrant une meilleure sécurité active.<BR>Elle se démonte rapidement et facilement sans outils pour être nettoyée et/ou remplacée.<BR>Elle est équipée d?une visière intérieure antibuée dotée d?un contour en silicone.<BR><BR><B>VISIÈRE SOLAIRE (VPS)</B><BR><BR>La visière solaire intérieure du nouveau <B>N104</B> est simple d?utilisation grâce à un mécanisme innovant (breveté) permettant de la rabattre rapidement (p. ex. à l?entrée d?un tunnel).<BR><BR>La visière solaire intérieure est traitée <B>S/R</B> (antirayures) et <B>F/R</B> (antibuée).<BR><BR><B>AÉRATION</B><BR><BR>L?aération de la partie supérieure du casque est assurée par le système AIR BOOSTER.<BR>Il garantit la parfaite aération de la tête. L?air est guidé dans les zones critiques, garantissant ainsi un maximum de confort même dans des conditions de conduite extrêmes. Le système d?aération innovant du <B>N104</B> dispose, par ailleurs, d?aérations au niveau de la mentonnière et du front ainsi que de deux ventilations à l?arrière, assurant un échange continu de l?air.<BR><BR><B>DOUBLURE CONFORT</B><BR><BR>Elle est composée de coussins de joue amovibles, d?une doublure, d?un coussin de nuque et d?un coupe-vent. La doublure du <B>N104</B> s?enlève et se lave facilement. Composée d?un tissu doux et respirant, elle offre beaucoup de confort lors des longs trajets. Le tissu a subi un traitement antibactérien. La forme de la doublure facilite le port de lunettes.<BR><BR>L?insert réfléchissant au milieu du coussin de nuque améliore la visibilité de nuit et augmente donc la sécurité du pilote. Le coussin de nuque peut être enlevé facilement pour plus de confort par temps chaud.<BR><B>Grandeur 2XS-3XL<B>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20010-005.jpg;0;Couleur:jaune:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83309;1;Nolan N104 Action blanc-noir;197;462.037037;1;258.7407407;0;;;;;Z20012-131;Z20012-131;Motochic;Nolan;;;;;;;;1;;;;;;Le nouveau <B>N104</b> est la synthèse de toutes les innovations dans le domaine du casque ouvrable de Nolan;Le <B>N104</B> représente la synthèse de toutes les innovations dans le domaine des casques rabattables de Nolan, à commencer par le N100 (en 1998). Nolan est sur le point d?écrire un nouveau chapitre dans cette histoire: le <B>N104</B> a été développé par les motards les plus exigeants. Il a été conçu, développé et testé par une équipe de spécialistes, ingénieurs, designers ou techniciens et par tous les passionnés de moto.<BR><BR>Le <B>N104</B> symbolise un design moderne, élégant et un confort incomparable.<BR><B>100 % «Made in Italy»</B>, le <B>N104</B> est le casque rabattable qui sert de modèle et ce, grâce à la réputation fiable de la marque Nolan et au grand soin accordé aux détails.<BR><BR><B>COQUE EXTÉRIEURE</B><BR><BR>La coque extérieure du <B>N104</B> est fabriquée dans deux tailles (XXS-L / XL ? XXXL) et offre donc un maximum de confort. Le poids et le volume du casque sont réduits à un minimum, en proportion de la taille du pilote.<BR><BR><B>ROTATION DE LA MENTONNIÈRE</B><BR><BR>Le mouvement de rotation elliptique breveté de la mentonnière permet de maintenir la partie frontale du casque à une petite taille lorsque la mentonnière est ouverte, réduisant fortement l?effet de «voile» et augmentant le confort, même quand celle-ci est ouverte.<BR><BR><B>MÉCANISME DUAL ACTION</B><BR><BR>Le <B>N104</B> est équipé du mécanisme <B>DUAL ACTION</B> breveté. Positionné au milieu de la mentonnière, il permet une ouverture facile d?une seule main.<BR><BR>Le mécanisme <B>DUAL ACTION</B> réduit à un minimum le risque d?ouverture accidentelle: la mentonnière ne peut être ouverte qu?en actionnant le levier d?activation (p. ex. le verrou de sécurité) et en actionnant simultanément un deuxième levier.<BR><BR><B>VISIÈRE EXTRA-LARGE</B><BR><BR>La visière installée sur le <B>N104</B> garantit un maximal de confort pendant la conduite. Ses grandes dimensions permettent une plus grande visibilité, offrant une meilleure sécurité active.<BR>Elle se démonte rapidement et facilement sans outils pour être nettoyée et/ou remplacée.<BR>Elle est équipée d?une visière intérieure antibuée dotée d?un contour en silicone.<BR><BR><B>VISIÈRE SOLAIRE (VPS)</B><BR><BR>La visière solaire intérieure du nouveau <B>N104</B> est simple d?utilisation grâce à un mécanisme innovant (breveté) permettant de la rabattre rapidement (p. ex. à l?entrée d?un tunnel).<BR><BR>La visière solaire intérieure est traitée <B>S/R</B> (antirayures) et <B>F/R</B> (antibuée).<BR><BR><B>AÉRATION</B><BR><BR>L?aération de la partie supérieure du casque est assurée par le système AIR BOOSTER.<BR>Il garantit la parfaite aération de la tête. L?air est guidé dans les zones critiques, garantissant ainsi un maximum de confort même dans des conditions de conduite extrêmes. Le système d?aération innovant du <B>N104</B> dispose, par ailleurs, d?aérations au niveau de la mentonnière et du front ainsi que de deux ventilations à l?arrière, assurant un échange continu de l?air.<BR><BR><B>DOUBLURE CONFORT</B><BR><BR>Elle est composée de coussins de joue amovibles, d?une doublure, d?un coussin de nuque et d?un coupe-vent. La doublure du <B>N104</B> s?enlève et se lave facilement. Composée d?un tissu doux et respirant, elle offre beaucoup de confort lors des longs trajets. Le tissu a subi un traitement antibactérien. La forme de la doublure facilite le port de lunettes.<BR><BR>L?insert réfléchissant au milieu du coussin de nuque améliore la visibilité de nuit et augmente donc la sécurité du pilote. Le coussin de nuque peut être enlevé facilement pour plus de confort par temps chaud.<BR><B>Grandeur 2XS-3XL<B>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20012-131.jpg;0;Couleur:blanc:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83310;1;Nolan N104 Classic #1 N-Com argent;197;739.8148148;1;414.2962963;0;;;;;Z20014-848;Z20014-848;Motochic;Nolan;;;;;;;;1;;;;;;avec système de communication entièrement intégré B4, disponible en noir mat et argent.;Le <B>N104</B> représente la synthèse de toutes les innovations dans le domaine des casques rabattables de Nolan, à commencer par le N100 (en 1998). Nolan est sur le point d?écrire un nouveau chapitre dans cette histoire: le <B>N104</B> a été développé par les motards les plus exigeants. Il a été conçu, développé et testé par une équipe de spécialistes, ingénieurs, designers ou techniciens et par tous les passionnés de moto.<BR><BR>Le <B>N104</B> symbolise un design moderne, élégant et un confort incomparable.<BR><B>100 % «Made in Italy»</B>, le <B>N104</B> est le casque rabattable qui sert de modèle et ce, grâce à la réputation fiable de la marque Nolan et au grand soin accordé aux détails.<BR><BR><B>COQUE EXTÉRIEURE</B><BR><BR>La coque extérieure du <B>N104</B> est fabriquée dans deux tailles (XXS-L / XL ? XXXL) et offre donc un maximum de confort. Le poids et le volume du casque sont réduits à un minimum, en proportion de la taille du pilote.<BR><BR><B>ROTATION DE LA MENTONNIÈRE</B><BR><BR>Le mouvement de rotation elliptique breveté de la mentonnière permet de maintenir la partie frontale du casque à une petite taille lorsque la mentonnière est ouverte, réduisant fortement l?effet de «voile» et augmentant le confort, même quand celle-ci est ouverte.<BR><BR><B>MÉCANISME DUAL ACTION</B><BR><BR>Le <B>N104</B> est équipé du mécanisme <B>DUAL ACTION</B> breveté. Positionné au milieu de la mentonnière, il permet une ouverture facile d?une seule main.<BR><BR>Le mécanisme <B>DUAL ACTION</B> réduit à un minimum le risque d?ouverture accidentelle: la mentonnière ne peut être ouverte qu?en actionnant le levier d?activation (p. ex. le verrou de sécurité) et en actionnant simultanément un deuxième levier.<BR><BR><B>VISIÈRE EXTRA-LARGE</B><BR><BR>La visière installée sur le <B>N104</B> garantit un maximal de confort pendant la conduite. Ses grandes dimensions permettent une plus grande visibilité, offrant une meilleure sécurité active.<BR>Elle se démonte rapidement et facilement sans outils pour être nettoyée et/ou remplacée.<BR>Elle est équipée d?une visière intérieure antibuée dotée d?un contour en silicone.<BR><BR><B>VISIÈRE SOLAIRE (VPS)</B><BR><BR>La visière solaire intérieure du nouveau <B>N104</B> est simple d?utilisation grâce à un mécanisme innovant (breveté) permettant de la rabattre rapidement (p. ex. à l?entrée d?un tunnel).<BR><BR>La visière solaire intérieure est traitée <B>S/R</B> (antirayures) et <B>F/R</B> (antibuée).<BR><BR><B>AÉRATION</B><BR><BR>L?aération de la partie supérieure du casque est assurée par le système AIR BOOSTER.<BR>Il garantit la parfaite aération de la tête. L?air est guidé dans les zones critiques, garantissant ainsi un maximum de confort même dans des conditions de conduite extrêmes. Le système d?aération innovant du <B>N104</B> dispose, par ailleurs, d?aérations au niveau de la mentonnière et du front ainsi que de deux ventilations à l?arrière, assurant un échange continu de l?air.<BR><BR><B>DOUBLURE CONFORT</B><BR><BR>Elle est composée de coussins de joue amovibles, d?une doublure, d?un coussin de nuque et d?un coupe-vent. La doublure du <B>N104</B> s?enlève et se lave facilement. Composée d?un tissu doux et respirant, elle offre beaucoup de confort lors des longs trajets. Le tissu a subi un traitement antibactérien. La forme de la doublure facilite le port de lunettes.<BR><BR>L?insert réfléchissant au milieu du coussin de nuque améliore la visibilité de nuit et augmente donc la sécurité du pilote. Le coussin de nuque peut être enlevé facilement pour plus de confort par temps chaud.<BR><B>Grandeur 2XS-3XL<B>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20014-848.jpg;0;Couleur:argent:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83311;1;Nolan N104 EVO Classic #5 blanc;197;406.4814815;1;227.6296296;0;;;;;Z20015-001;Z20015-001;Motochic;Nolan;;;;;;;;1;;;;;;Der EVO N104 ist ein Update des N104. Die Innovation im Bereich Klapphelme von Nolan. ECE-Zulassung als Integral- und Jethelm.;"L&acute;EVO N104 est une mise à jour du N104. L&acute; innovation au niveau des casques rabattable de chez Nolan.<br><ul><li>2 grandeurs de coques casque</li><li>Design aérodynamique optimisé</li><li>Autorisation ECE en tant que casque intégral et Jet</li><li>Système de changement de visière rapide</li><li>Visière solaire VPS intégrée </li><li>Doublure intérieure atmo-active clima comfort </li><li>Fermeture à sangle crantée microlock</li><li>Joint élaboré entre la coque du casque et le protège-menton</li><li>Arrêtoir dual-action pour un verrouillage sûr de la mentonnière</li><li>Option pour le système de communication N-Com</li></ul><b>Grandeurs 2XS - 3 XL</b><br>";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20015-001-M.jpg;0;Couleur:blanc:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
83312;1;Nolan N104 EVO Classic #1 argent;197;406.4814815;1;227.6296296;0;;;;;Z20015-848;Z20015-848;Motochic;Nolan;;;;;;;;1;;;;;;Der EVO N104 ist ein Update des N104. Die Innovation im Bereich Klapphelme von Nolan. ECE-Zulassung als Integral- und Jethelm.;"L&acute;EVO N104 est une mise à jour du N104. L&acute; innovation au niveau des casques rabattable de chez Nolan.<br><ul><li>2 grandeurs de coques casque</li><li>Design aérodynamique optimisé</li><li>Autorisation ECE en tant que casque intégral et Jet</li><li>Système de changement de visière rapide</li><li>Visière solaire VPS intégrée </li><li>Doublure intérieure atmo-active clima comfort </li><li>Fermeture à sangle crantée microlock</li><li>Joint élaboré entre la coque du casque et le protège-menton</li><li>Arrêtoir dual-action pour un verrouillage sûr de la mentonnière</li><li>Option pour le système de communication N-Com</li></ul><b>Grandeurs 2XS - 3 XL</b><br>";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-20;2016-06-20;1;http://shop.motochic.ch/shopimages/super/Z20015-848-M.jpg,http://shop.motochic.ch/shopimages/super/Z20015-848-M_01.jpg,http://shop.motochic.ch/shopimages/super/Z20015-848-M_02.jpg;0;Couleur:argent:1,Type de casque:Modulable:2,Genre:Unisex:3,Coque:Polycarbonate:4,Ecran Anti-buée:Antibuée par Pinlock:5,Cache-nez:Non:6,Double écran solaire:Oui:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran Anti-rayures:Oui:10,Bavette:Oui:11,Jugulaire:Boucle micrométrique:12;0;new;0;0;0;2;0;0;0;0
